city,years,companies,predict_label
'S GRAVENDEEL,2015,stedin,4
'S GRAVENDEEL,2016,stedin,1
'S GRAVENDEEL,2017,stedin,1
'S GRAVENDEEL,2018,stedin,1
'S GRAVENHAGE,2015,stedin,3
'S GRAVENHAGE,2016,stedin,1
'S GRAVENHAGE,2017,stedin,1
'S GRAVENHAGE,2018,stedin,1
'S GRAVENMOER,2012,enexis,1
'S GRAVENMOER,2013,enexis,1
'S GRAVENMOER,2014,enexis,1
'S GRAVENMOER,2015,enexis,1
'S GRAVENMOER,2016,enexis,1
'S GRAVENMOER,2017,enexis,1
'S GRAVENMOER,2018,enexis,1
'S GRAVENMOER,2019,enexis,1
'S-GRAVELAND,2010,liander,1
'S-GRAVELAND,2011,liander,1
'S-GRAVELAND,2012,liander,1
'S-GRAVELAND,2013,liander,1
'S-GRAVELAND,2014,liander,1
'S-GRAVELAND,2015,liander,1
'S-GRAVELAND,2016,liander,1
'S-GRAVELAND,2017,liander,1
'S-GRAVELAND,2018,liander,1
'S-GRAVELAND,2019,liander,1
'S-GRAVENDEEL,2010,stedin,1
'S-GRAVENDEEL,2011,stedin,1
'S-GRAVENDEEL,2012,stedin,1
'S-GRAVENDEEL,2013,stedin,1
'S-GRAVENDEEL,2014,stedin,1
'S-GRAVENDEEL,2015,stedin,1
'S-GRAVENDEEL,2016,stedin,1
'S-GRAVENDEEL,2017,stedin,1
'S-GRAVENDEEL,2018,stedin,1
'S-GRAVENDEEL,2019,stedin,1
'S-GRAVENHAGE,2010,liander,5
'S-GRAVENHAGE,2010,stedin,1
'S-GRAVENHAGE,2011,liander,5
'S-GRAVENHAGE,2011,stedin,1
'S-GRAVENHAGE,2012,liander,1
'S-GRAVENHAGE,2012,stedin,1
'S-GRAVENHAGE,2013,liander,4
'S-GRAVENHAGE,2013,stedin,1
'S-GRAVENHAGE,2014,liander,5
'S-GRAVENHAGE,2014,stedin,1
'S-GRAVENHAGE,2015,liander,4
'S-GRAVENHAGE,2015,stedin,1
'S-GRAVENHAGE,2016,liander,4
'S-GRAVENHAGE,2016,stedin,1
'S-GRAVENHAGE,2017,liander,4
'S-GRAVENHAGE,2017,stedin,1
'S-GRAVENHAGE,2018,liander,5
'S-GRAVENHAGE,2018,stedin,1
'S-GRAVENHAGE,2019,liander,5
'S-GRAVENHAGE,2019,stedin,1
'S-HEERENBERG,2010,liander,1
'S-HEERENBERG,2011,liander,1
'S-HEERENBERG,2012,liander,1
'S-HEERENBERG,2013,liander,1
'S-HEERENBERG,2014,liander,1
'S-HEERENBERG,2015,liander,1
'S-HEERENBERG,2016,liander,1
'S-HEERENBERG,2017,liander,1
'S-HEERENBERG,2018,liander,1
'S-HEERENBERG,2019,liander,1
'S-HEERENBROEK,2010,enexis,1
'S-HEERENBROEK,2011,enexis,1
'S-HEERENBROEK,2012,enexis,1
'S-HEERENBROEK,2013,enexis,1
'S-HEERENBROEK,2014,enexis,1
'S-HEERENBROEK,2015,enexis,1
'S-HEERENBROEK,2016,enexis,1
'S-HEERENBROEK,2017,enexis,1
'S-HEERENBROEK,2018,enexis,1
'S-HEERENBROEK,2019,enexis,1
'S-HERTOGENBOSCH,2010,enexis,1
'S-HERTOGENBOSCH,2011,enexis,1
'S-HERTOGENBOSCH,2012,enexis,1
'S-HERTOGENBOSCH,2013,enexis,1
'S-HERTOGENBOSCH,2014,enexis,1
'S-HERTOGENBOSCH,2015,enexis,1
'S-HERTOGENBOSCH,2016,enexis,1
'S-HERTOGENBOSCH,2017,enexis,1
'S-HERTOGENBOSCH,2018,enexis,1
'S-HERTOGENBOSCH,2019,enexis,1
'T GOY,2010,stedin,1
'T GOY,2011,stedin,1
'T GOY,2012,stedin,1
'T GOY,2013,stedin,1
'T GOY,2014,stedin,1
'T GOY,2015,stedin,1
'T GOY,2016,stedin,1
'T GOY,2017,stedin,1
'T GOY,2018,stedin,1
'T GOY,2019,stedin,1
'T HAANTJE,2010,enexis,1
'T HAANTJE,2011,enexis,1
'T HAANTJE,2012,enexis,1
'T HAANTJE,2013,enexis,1
'T HAANTJE,2014,enexis,1
'T HAANTJE,2015,enexis,1
'T HAANTJE,2016,enexis,1
'T HAANTJE,2017,enexis,1
'T HAANTJE,2018,enexis,1
'T HAANTJE,2019,enexis,1
'T HARDE,2010,liander,1
'T HARDE,2011,liander,1
'T HARDE,2012,liander,1
'T HARDE,2013,liander,1
'T HARDE,2014,liander,1
'T HARDE,2015,liander,1
'T HARDE,2016,liander,1
'T HARDE,2017,liander,1
'T HARDE,2018,liander,1
'T HARDE,2019,liander,1
'T LOO OLDEBROEK,2010,liander,1
'T LOO OLDEBROEK,2011,liander,1
'T LOO OLDEBROEK,2012,liander,1
'T LOO OLDEBROEK,2013,liander,1
'T LOO OLDEBROEK,2014,liander,1
'T LOO OLDEBROEK,2015,liander,1
'T LOO OLDEBROEK,2016,liander,1
'T LOO OLDEBROEK,2017,liander,1
'T LOO OLDEBROEK,2018,liander,1
'T LOO OLDEBROEK,2019,liander,1
'T VELD,2010,liander,1
'T VELD,2011,liander,1
'T VELD,2012,liander,1
'T VELD,2013,liander,1
'T VELD,2014,liander,1
'T VELD,2015,liander,1
'T VELD,2016,liander,1
'T VELD,2017,liander,1
'T VELD,2018,liander,1
'T VELD,2019,liander,1
'T WAAR,2010,enexis,1
'T WAAR,2011,enexis,1
'T WAAR,2012,enexis,2
'T WAAR,2013,enexis,1
'T WAAR,2014,enexis,2
'T WAAR,2015,enexis,1
'T WAAR,2016,enexis,1
'T WAAR,2017,enexis,2
'T WAAR,2018,enexis,1
'T WAAR,2019,enexis,1
'T ZAND NH,2010,liander,1
'T ZAND NH,2011,liander,1
'T ZAND NH,2012,liander,1
'T ZAND NH,2013,liander,1
'T ZAND NH,2014,liander,1
'T ZAND NH,2015,liander,1
'T ZAND NH,2016,liander,1
'T ZAND NH,2017,liander,1
'T ZAND NH,2018,liander,1
'T ZAND NH,2019,liander,1
'T ZANDT GN,2010,enexis,1
'T ZANDT GN,2011,enexis,1
'T ZANDT GN,2012,enexis,1
'T ZANDT GN,2013,enexis,1
'T ZANDT GN,2014,enexis,1
'T ZANDT GN,2015,enexis,1
'T ZANDT GN,2016,enexis,1
'T ZANDT GN,2017,enexis,1
'T ZANDT GN,2018,enexis,1
'T ZANDT GN,2019,enexis,1
1E EXLOERMOND,2010,enexis,1
1E EXLOERMOND,2011,enexis,2
1E EXLOERMOND,2012,enexis,1
1E EXLOERMOND,2013,enexis,1
1E EXLOERMOND,2014,enexis,2
1E EXLOERMOND,2015,enexis,2
1E EXLOERMOND,2016,enexis,1
1E EXLOERMOND,2017,enexis,1
1E EXLOERMOND,2018,enexis,1
1E EXLOERMOND,2019,enexis,1
2E EXLOERMOND,2010,enexis,1
2E EXLOERMOND,2011,enexis,1
2E EXLOERMOND,2012,enexis,1
2E EXLOERMOND,2013,enexis,1
2E EXLOERMOND,2014,enexis,1
2E EXLOERMOND,2015,enexis,1
2E EXLOERMOND,2016,enexis,1
2E EXLOERMOND,2017,enexis,1
2E EXLOERMOND,2018,enexis,1
2E EXLOERMOND,2019,enexis,1
2E VALTHERMOND,2010,enexis,1
2E VALTHERMOND,2011,enexis,1
2E VALTHERMOND,2012,enexis,1
2E VALTHERMOND,2013,enexis,1
2E VALTHERMOND,2014,enexis,1
2E VALTHERMOND,2015,enexis,2
2E VALTHERMOND,2016,enexis,1
2E VALTHERMOND,2017,enexis,1
2E VALTHERMOND,2018,enexis,1
2E VALTHERMOND,2019,enexis,1
AALDEN,2010,enexis,1
AALDEN,2011,enexis,1
AALDEN,2012,enexis,1
AALDEN,2013,enexis,1
AALDEN,2014,enexis,1
AALDEN,2015,enexis,1
AALDEN,2016,enexis,1
AALDEN,2017,enexis,1
AALDEN,2018,enexis,1
AALDEN,2019,enexis,1
AALSMEER,2010,stedin,1
AALSMEER,2011,stedin,1
AALSMEER,2012,liander,4
AALSMEER,2012,stedin,1
AALSMEER,2013,liander,5
AALSMEER,2013,stedin,1
AALSMEER,2014,liander,5
AALSMEER,2014,stedin,1
AALSMEER,2015,liander,5
AALSMEER,2015,stedin,1
AALSMEER,2016,liander,4
AALSMEER,2016,stedin,1
AALSMEER,2017,liander,4
AALSMEER,2017,stedin,1
AALSMEER,2018,liander,4
AALSMEER,2018,stedin,1
AALSMEER,2019,liander,4
AALSMEER,2019,stedin,1
AALSMEERDERBRUG,2011,liander,1
AALSMEERDERBRUG,2012,liander,1
AALSMEERDERBRUG,2013,liander,1
AALSMEERDERBRUG,2014,liander,1
AALSMEERDERBRUG,2015,liander,1
AALSMEERDERBRUG,2016,liander,2
AALSMEERDERBRUG,2017,liander,2
AALSMEERDERBRUG,2018,liander,1
AALSMEERDERBRUG,2019,liander,1
AALST GLD,2010,liander,1
AALST GLD,2011,liander,1
AALST GLD,2012,liander,1
AALST GLD,2013,liander,1
AALST GLD,2014,liander,1
AALST GLD,2015,liander,1
AALST GLD,2016,liander,1
AALST GLD,2017,liander,1
AALST GLD,2018,liander,1
AALST GLD,2019,liander,1
AALSUM,2010,stedin,2
AALSUM,2011,stedin,2
AALSUM,2012,stedin,2
AALSUM,2013,stedin,2
AALSUM,2014,stedin,2
AALSUM,2015,stedin,2
AALSUM,2016,stedin,2
AALSUM,2017,stedin,2
AALSUM,2018,stedin,2
AALSUM,2019,stedin,2
AALTEN,2010,liander,1
AALTEN,2011,liander,1
AALTEN,2012,liander,1
AALTEN,2013,liander,1
AALTEN,2014,liander,1
AALTEN,2015,liander,1
AALTEN,2016,liander,1
AALTEN,2017,liander,1
AALTEN,2018,liander,1
AALTEN,2019,liander,1
AARLANDERVEEN,2010,liander,1
AARLANDERVEEN,2011,liander,1
AARLANDERVEEN,2012,liander,1
AARLANDERVEEN,2013,liander,1
AARLANDERVEEN,2014,liander,1
AARLANDERVEEN,2015,liander,1
AARLANDERVEEN,2016,liander,1
AARLANDERVEEN,2017,liander,1
AARLANDERVEEN,2018,liander,1
AARLANDERVEEN,2019,liander,1
AARLE-RIXTEL,2017,enexis,1
AARLE-RIXTEL,2018,enexis,1
AARLE-RIXTEL,2019,enexis,1
AARTSWOUD,2010,liander,1
AARTSWOUD,2011,liander,1
AARTSWOUD,2012,liander,1
AARTSWOUD,2013,liander,1
AARTSWOUD,2014,liander,1
AARTSWOUD,2015,liander,1
AARTSWOUD,2016,liander,1
AARTSWOUD,2017,liander,1
AARTSWOUD,2018,liander,1
AARTSWOUD,2019,liander,1
ABBEGA,2010,enexis,1
ABBEGA,2011,enexis,1
ABBEGA,2012,enexis,1
ABBEGA,2013,enexis,1
ABBEGA,2014,enexis,1
ABBEGA,2015,enexis,1
ABBEGA,2016,liander,1
ABBEGA,2017,liander,1
ABBEGA,2018,liander,1
ABBEGA,2019,liander,1
ABBEKERK,2010,liander,1
ABBEKERK,2011,liander,1
ABBEKERK,2012,liander,1
ABBEKERK,2013,liander,1
ABBEKERK,2014,liander,1
ABBEKERK,2015,liander,1
ABBEKERK,2016,liander,1
ABBEKERK,2017,liander,1
ABBEKERK,2018,liander,1
ABBEKERK,2019,liander,1
ABBENBROEK,2010,stedin,1
ABBENBROEK,2011,stedin,1
ABBENBROEK,2012,stedin,1
ABBENBROEK,2013,stedin,1
ABBENBROEK,2014,stedin,1
ABBENBROEK,2015,stedin,1
ABBENBROEK,2016,stedin,1
ABBENBROEK,2017,stedin,1
ABBENBROEK,2018,stedin,1
ABBENBROEK,2019,stedin,1
ABBENES,2011,liander,1
ABBENES,2012,liander,1
ABBENES,2013,liander,1
ABBENES,2014,liander,1
ABBENES,2015,liander,1
ABBENES,2016,liander,1
ABBENES,2017,liander,1
ABBENES,2018,liander,1
ABBENES,2019,liander,1
ABCOUDE,2010,stedin,1
ABCOUDE,2011,stedin,1
ABCOUDE,2012,stedin,1
ABCOUDE,2013,stedin,1
ABCOUDE,2014,stedin,1
ABCOUDE,2015,stedin,1
ABCOUDE,2016,liander,1
ABCOUDE,2016,stedin,1
ABCOUDE,2017,stedin,1
ABCOUDE,2018,stedin,1
ABCOUDE,2019,stedin,1
ACHLUM,2010,enexis,1
ACHLUM,2011,enexis,1
ACHLUM,2012,enexis,1
ACHLUM,2013,enexis,1
ACHLUM,2014,enexis,1
ACHLUM,2015,enexis,1
ACHLUM,2016,liander,1
ACHLUM,2017,liander,1
ACHLUM,2018,liander,1
ACHLUM,2019,liander,1
ACHTERVELD,2010,liander,1
ACHTERVELD,2010,stedin,1
ACHTERVELD,2011,liander,1
ACHTERVELD,2011,stedin,1
ACHTERVELD,2012,liander,3
ACHTERVELD,2012,stedin,1
ACHTERVELD,2013,liander,1
ACHTERVELD,2013,stedin,1
ACHTERVELD,2014,liander,3
ACHTERVELD,2014,stedin,1
ACHTERVELD,2015,liander,1
ACHTERVELD,2015,stedin,1
ACHTERVELD,2016,liander,1
ACHTERVELD,2016,stedin,1
ACHTERVELD,2017,liander,1
ACHTERVELD,2017,stedin,1
ACHTERVELD,2018,liander,3
ACHTERVELD,2018,stedin,1
ACHTERVELD,2019,liander,3
ACHTERVELD,2019,stedin,1
ACHTHUIZEN,2010,stedin,1
ACHTHUIZEN,2011,stedin,1
ACHTHUIZEN,2012,stedin,1
ACHTHUIZEN,2013,stedin,1
ACHTHUIZEN,2014,stedin,1
ACHTHUIZEN,2015,stedin,1
ACHTHUIZEN,2016,stedin,1
ACHTHUIZEN,2017,stedin,1
ACHTHUIZEN,2018,stedin,1
ACHTHUIZEN,2019,stedin,1
ACHTMAAL,2010,enexis,1
ACHTMAAL,2011,enexis,1
ACHTMAAL,2012,enexis,1
ACHTMAAL,2013,enexis,1
ACHTMAAL,2014,enexis,1
ACHTMAAL,2015,enexis,1
ACHTMAAL,2016,enexis,1
ACHTMAAL,2017,enexis,1
ACHTMAAL,2018,enexis,1
ACHTMAAL,2019,enexis,1
ACQUOY,2010,liander,1
ACQUOY,2011,liander,1
ACQUOY,2012,liander,1
ACQUOY,2013,liander,1
ACQUOY,2014,liander,1
ACQUOY,2015,liander,1
ACQUOY,2016,liander,1
ACQUOY,2017,liander,1
ACQUOY,2018,liander,1
ACQUOY,2018,stedin,1
ACQUOY,2019,liander,1
ACQUOY,2019,stedin,1
ADORP,2010,enexis,1
ADORP,2011,enexis,1
ADORP,2012,enexis,1
ADORP,2013,enexis,1
ADORP,2014,enexis,1
ADORP,2015,enexis,1
ADORP,2016,enexis,1
ADORP,2017,enexis,1
ADORP,2018,enexis,1
ADORP,2019,enexis,1
