city,years,companies,annual_consume
'S GRAVENHAGE,2015,stedin,11.432
'S GRAVENHAGE,2016,stedin,34.385
'S GRAVENHAGE,2017,stedin,12.578
'S GRAVENHAGE,2019,stedin,2.227
'S GRAVENMOER,2010,enexis,223.824
'S GRAVENMOER,2011,enexis,220.8
'S GRAVENMOER,2012,enexis,227.955
'S GRAVENMOER,2013,enexis,224.261
'S GRAVENMOER,2014,enexis,224.292
'S GRAVENMOER,2015,enexis,217.158
'S GRAVENMOER,2016,enexis,216.509
'S GRAVENMOER,2017,enexis,214.627
'S GRAVENMOER,2018,enexis,220.627
'S GRAVENMOER,2019,enexis,219.47
'S-GRAVELAND,2010,liander,227.045
'S-GRAVELAND,2011,liander,220.58
'S-GRAVELAND,2012,liander,213.783
'S-GRAVELAND,2013,liander,225.722
'S-GRAVELAND,2014,liander,222.511
'S-GRAVELAND,2015,liander,218.542
'S-GRAVELAND,2016,liander,219.554
'S-GRAVELAND,2017,liander,215.027
'S-GRAVELAND,2018,liander,212.734
'S-GRAVELAND,2019,liander,199.62
'S-GRAVENDEEL,2010,stedin,777.937
'S-GRAVENDEEL,2011,stedin,775.547
'S-GRAVENDEEL,2012,stedin,776.571
'S-GRAVENDEEL,2013,stedin,777.578
'S-GRAVENDEEL,2014,stedin,776.696
'S-GRAVENDEEL,2015,stedin,742.234
'S-GRAVENDEEL,2016,stedin,711.167
'S-GRAVENDEEL,2017,stedin,710.876
'S-GRAVENDEEL,2018,stedin,688.381
'S-GRAVENDEEL,2019,stedin,675.637
'S-GRAVENHAGE,2010,stedin,40996.9
'S-GRAVENHAGE,2011,stedin,41290.1
'S-GRAVENHAGE,2012,stedin,41531.4
'S-GRAVENHAGE,2013,stedin,41187.1
'S-GRAVENHAGE,2014,stedin,41096.2
'S-GRAVENHAGE,2015,stedin,40013
'S-GRAVENHAGE,2016,stedin,39595
'S-GRAVENHAGE,2017,stedin,39570.7
'S-GRAVENHAGE,2018,stedin,40039.6
'S-GRAVENHAGE,2019,stedin,37661.5
'S-GRAVENZANDE,2013,stedin,7.214
'S-GRAVENZANDE,2014,stedin,7.328
'S-GRAVENZANDE,2015,stedin,9.022
'S-GRAVENZANDE,2016,stedin,8.523
'S-GRAVENZANDE,2017,stedin,8.47
'S-GRAVENZANDE,2018,stedin,8.412
'S-HEERENBERG,2010,liander,1014.57
'S-HEERENBERG,2011,liander,987.742
'S-HEERENBERG,2012,liander,1006.15
'S-HEERENBERG,2013,liander,1008.13
'S-HEERENBERG,2014,liander,1074.65
'S-HEERENBERG,2015,liander,982.631
'S-HEERENBERG,2016,liander,963.233
'S-HEERENBERG,2017,liander,934.762
'S-HEERENBERG,2018,liander,902.793
'S-HEERENBERG,2019,liander,876.284
'S-HEERENBROEK,2010,enexis,45.763
'S-HEERENBROEK,2011,enexis,46.079
'S-HEERENBROEK,2012,enexis,49.116
'S-HEERENBROEK,2013,enexis,49.517
'S-HEERENBROEK,2014,enexis,48.771
'S-HEERENBROEK,2015,enexis,49.399
'S-HEERENBROEK,2016,enexis,46.23
'S-HEERENBROEK,2017,enexis,50.533
'S-HEERENBROEK,2018,enexis,60.813
'S-HEERENBROEK,2019,enexis,64.435
'S-HERTOGENBOSCH,2010,enexis,9670.92
'S-HERTOGENBOSCH,2011,enexis,9873.73
'S-HERTOGENBOSCH,2012,enexis,10032.5
'S-HERTOGENBOSCH,2013,enexis,9866.17
'S-HERTOGENBOSCH,2014,enexis,9758.21
'S-HERTOGENBOSCH,2015,enexis,9527.26
'S-HERTOGENBOSCH,2016,enexis,9323.46
'S-HERTOGENBOSCH,2017,enexis,9273.46
'S-HERTOGENBOSCH,2018,enexis,9900.36
