city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
'S GRAVENMOER,1,238.83,0.367538,0.0178534,0.696486,2013,0.111821,4
'S-GRAVELAND,0.887168,281.449,0.279062,0,0.605985,2013,0.0199501,5
'S-GRAVENDEEL,0.984405,186.649,0.934099,0.00759833,0.805329,2013,0.0530485,5
'S-GRAVENHAGE,0.96977,160.973,0.656535,0.00828674,0.825345,2013,0.0565457,5
'S-GRAVENZANDE,0.869565,360.7,0.5652,0,0.55,2013,0,5
'S-HEERENBERG,0.925079,265.089,0.430035,0.00768694,0.686563,2013,0.021299,5
'S-HEERENBROEK,1,242.73,0.396373,0.0129002,0.54902,2013,0.0245098,5
'S-HERTOGENBOSCH,1,191.904,0.440374,0.00479708,0.804345,2013,0.0771804,5
'T GOY,0.959732,375.112,0.824821,0.024088,0.681818,2013,0.0174825,5
'T HAANTJE,1,214.233,0.389612,0.0534542,0.569767,2013,0.0348837,5
'T HARDE,0.946251,248.522,0.407745,0.00644406,0.726122,2013,0.0350941,5
'T LOO OLDEBROEK,0.911765,250.917,0.382241,0.0170231,0.592166,2013,0.0138249,5
'T VELD,0.950948,293.388,0.596831,0.0119655,0.706917,2013,0.00820633,5
'T WAAR,1,221.113,0.365267,0.10265,0.528302,2013,0.0754717,5
'T ZAND NH,0.923708,344.209,0.519926,0.0186277,0.65897,2013,0.0435169,5
'T ZANDT GN,1,229.103,0.301431,0.0178747,0.475073,2013,0.0293255,5
1E EXLOERMOND,1,336.532,0.408459,0.0554456,0.510638,2013,0.0283688,5
2E EXLOERMOND,1,276.73,0.357013,0.0189953,0.531955,2013,0.0319549,5
2E VALTHERMOND,1,534.875,0.423975,0,0.520833,2013,0,5
AADORP,1,230.711,0.417117,0.00551553,0.629825,2013,0.135088,4
AALDEN,1,190.997,0.334903,0.0132303,0.541775,2013,0.0287206,5
AALSMEER,0.92762,272.949,0.42848,0.00705672,0.669598,2013,0.0123307,5
AALSMEERDERBRUG,0.90625,305.437,0.453412,0.00752266,0.685824,2013,0.0153257,5
AALST GLD,0.941507,320.202,0.530594,0.000881894,0.681004,2013,0.0191159,5
AALSUM,0.946429,296.283,0.703623,0.108679,0.490566,2013,0,5
AALTEN,0.927927,279.993,0.43149,0.0142676,0.668371,2013,0.0206957,5
AALZUM,0.913043,339.429,0.5652,0.0435,0.47619,2013,0.047619,5
AARLANDERVEEN,0.911038,303.09,0.816354,0.004079,0.632911,2013,0.0253165,5
AARLE-RIXTEL,1,258.377,0.440116,0.0140838,0.661461,2013,0.0523428,5
AARTSWOUD,0.946043,201.144,0.528008,0.0236713,0.669202,2013,0.0380228,5
ABBEGA,0.927419,337.591,0.61737,0.02859,0.591304,2013,0,5
ABBEKERK,0.956262,200.603,0.472542,0.0111852,0.628898,2013,0.010395,5
ABBENBROEK,0.982258,231.969,0.937653,0.0213735,0.711002,2013,0.0541872,5
ABBENES,0.945578,339.234,0.560882,0.00710048,0.658273,2013,0.00899281,5
ABCOUDE,0.979428,302.584,0.787982,0.00935765,0.673973,2013,0.0398782,5
ACHLUM,0.980456,189.213,0.545427,0.00448687,0.554817,2013,0.00996678,5
ACHTERVELD,0.971674,292.271,0.835601,0.0138937,0.612191,2013,0.0185512,5
ACHTHUIZEN,0.969697,191.517,0.852825,0.0176104,0.701389,2013,0.0138889,5
ACHTMAAL,1,368.819,0.440373,0.0175591,0.696328,2013,0.069209,5
ACQUOY,0.871528,357.653,0.720435,0.0308786,0.533865,2013,0.0119522,5
ADORP,1,193.592,0.314914,0.026111,0.527076,2013,0.0180505,5
ADUARD,1,228.994,0.324504,0.0197634,0.524948,2013,0.024948,5
AERDENHOUT,0.941147,392.097,0.671135,0.00904903,0.704582,2013,0.00862534,5
AERDT,0.947619,255.824,0.583801,0.00479036,0.613065,2013,0.00502513,5
AFFERDEN GLD,0.920485,265.772,0.377216,0.00935168,0.61347,2013,0.00585652,5
AFFERDEN LB,1,291.606,0.495309,0.0120979,0.580067,2013,0.0470325,5
AGELO,1,338.761,0.459624,0.0135305,0.74359,2013,0,5
AKERSLOOT,0.941228,235.397,0.404149,0.0099577,0.65657,2013,0.00605778,5
AKKRUM,0.939223,223.25,0.359102,0.0187712,0.629718,2013,0.00479329,5
AKMARIJP,0.929825,323.66,0.53256,0.0311173,0.45283,2013,0.0188679,5
ALBERGEN,1,353.929,0.429327,0.0161972,0.69212,2013,0.0276198,5
ALBLASSERDAM,0.980495,159.501,0.947292,0.00664451,0.800617,2013,0.0540757,5
ALDE LEIE,0.928571,300.538,0.411901,0.0106377,0.555556,2013,0,5
ALDEBOARN,0.888889,203.565,0.450985,0.0106179,0.594156,2013,0,5
ALDTSJERK,0.97,234.756,0.304074,0.022579,0.608247,2013,0.00343643,5
ALEM,0.892857,276.184,0.485676,0.0067478,0.516,2013,0.008,5
ALKMAAR,0.947909,188.452,0.304727,0.00686258,0.755444,2013,0.0147437,5
ALLINGAWIER,0.842105,453.031,0.814204,0.0916388,0.4375,2013,0.03125,5
ALMELO,1,734.438,0.238689,0.0120254,0.46875,2013,0.0729167,5
ALMEN,0.902571,275.922,0.523073,0.0319991,0.617691,2013,0.0269865,5
ALMERE,0.955282,227.932,0.328618,0.00718816,0.831902,2013,0.0247977,5
ALMKERK,1,274.226,0.436956,0.0109934,0.638718,2013,0.0354465,5
ALPHEN AAN DEN RIJN,0.961154,193.378,0.87143,0.00569397,0.732182,2013,0.0185327,5
ALPHEN AD RIJN,0.916667,207.273,1,0,0.5,2013,0,5
ALPHEN GLD,0.939655,345.292,0.52948,0.0132123,0.610747,2013,0.00393185,5
ALPHEN NB,1,359.119,0.476924,0.0051727,0.647944,2013,0.0399537,5
ALTEVEER GEM DE WOLDEN,1,256.797,0.38885,0.0102555,0.674419,2013,0.0299003,5
ALTEVEER GEM NOORDENVELD,1,275.622,0.35093,0,0.466667,2013,0,5
ALTEVEER GN,1,232.733,0.365461,0.0172022,0.574775,2013,0.0234234,5
ALTFORST,0.912351,391.362,0.529843,0.0166586,0.563319,2013,0.0131004,5
AMBT DELDEN,1,560.018,0.444906,0.0419162,0.638978,2013,0.0623003,5
AMEIDE,0.978503,223.41,0.940108,0.00880794,0.733333,2013,0.0393939,5
AMEN,1,492.886,0.43487,0.0430792,0.828571,2013,0.114286,4
AMERICA,1,369.872,0.522264,0.0291953,0.598351,2013,0.0930506,5
AMERONGEN,0.98019,253.133,0.82494,0.0137543,0.575579,2013,0.0324211,5
AMERSFOORT,0.976692,178.495,0.818568,0.0141774,0.753594,2013,0.0741369,5
AMMERSTOL,0.985915,197.366,0.916872,0.0167874,0.667532,2013,0.0272727,5
AMMERZODEN,0.948967,355.166,0.564513,0.00637703,0.653649,2013,0.00512164,5
AMSTELHOEK,0.971193,264.131,0.883623,0.00254352,0.610169,2013,0.00423729,5
AMSTELVEEN,0.952193,186.97,0.310727,0.00338841,0.742559,2013,0.012982,5
AMSTENRADE,1,239.628,0.463412,0.0196466,0.569758,2013,0.0568087,5
AMSTERDAM,0.907091,132.36,0.21328,0.00233828,0.707242,2013,0.0882224,5
AMSTERDAM ZUIDOOST,0.853131,134.685,0.165454,0.0024739,0.825712,2013,0.0385315,5
AMSTEVEEN,0.96,112.958,0.08,0,0.916667,2013,0,5
ANDEL,1,292.623,0.455773,0.00254543,0.633958,2013,0.0275634,5
ANDELST,0.900789,363.362,0.443041,0.0107012,0.607009,2013,0.00876095,5
ANDEREN,1,370.042,0.388573,0.0530515,0.625,2013,0.0416667,5
ANDIJK,0.934818,240.117,0.479736,0.00606168,0.667054,2013,0.00987798,5
ANE,1,360.472,0.377896,0.0327957,0.52795,2013,0.0372671,5
ANERVEEN,1,178.625,0.44,0.06,0.583333,2013,0,5
ANEVELDE,1,1339,0.47,0.11,0.421053,2013,0.105263,4
ANGEREN,0.945617,281.445,0.466919,0.00668026,0.672103,2013,0.00515021,5
ANGERLO,0.952381,368.838,0.507476,0.0063808,0.633333,2013,0.0166667,5
ANJUM,0.945674,171.645,0.357871,0.00822084,0.689362,2013,0.00319149,5
ANKEVEEN,0.903037,247.442,0.351096,0.00251237,0.623545,2013,0.0103493,5
ANLOO,1,417.607,0.403406,0.00534738,0.558621,2013,0.0482759,5
ANNA PAULOWNA,0.944669,246.361,0.6093,0.0130251,0.692431,2013,0.00855844,5
ANNEN,1,250.951,0.386937,0.0135484,0.611529,2013,0.248747,3
ANNERVEENSCHEKANAAL,1,190.331,0.384818,0.00401799,0.49375,2013,0.0125,5
ANSEN,1,394.655,0.42697,0.00780982,0.535211,2013,0.0633803,5
APELDOORN,0.941992,217.698,0.539801,0.00848215,0.746961,2013,0.145242,4
APPELSCHA,0.945708,207.082,0.47115,0.0158486,0.680372,2013,0.00775795,5
APPELTERN,0.914352,256.985,0.44668,0.0142209,0.632911,2013,0.0202532,5
APPINGEDAM,1,187.934,0.271215,0.00821526,0.587556,2013,0.032575,5
ARCEN,1,225.153,0.508522,0.0199961,0.621414,2013,0.179846,4
ARKEL,0.980836,241.96,0.908356,0.00935934,0.756069,2013,0.0615749,5
ARNHEM,0.931243,200.444,0.488634,0.00431068,0.716121,2013,0.0283113,5
ARRIEN,1,494.488,0.45852,0.030421,0.682353,2013,0.0588235,5
ARUM,0.952381,301.311,0.430863,0.0175929,0.63913,2013,0.0108696,5
ASCH,0.958333,259.547,0.66162,0.0107591,0.583851,2013,0.00621118,5
ASPEREN,0.981217,232.717,0.928145,0.0110964,0.74732,2013,0.0482389,5
ASSEN,1,191.519,0.289497,0.0118059,0.610912,2013,0.0329449,5
ASSENDELFT,0.952668,204.148,0.324729,0.0104525,0.766636,2013,0.0115437,5
ASTEN,1,265.076,0.43806,0.00853253,0.657941,2013,0.0495432,5
AUGSBUURT,0.860465,183.838,0.4186,0.0465,0.567568,2013,0,5
AUGUSTINUSGA,0.910714,237.504,0.410021,0.021103,0.572193,2013,0.00534759,5
AUSTERLITZ,0.988006,273.692,0.826215,0.024971,0.540212,2013,0.060698,5
AVENHORN,0.953771,222.25,0.48477,0.0122713,0.669643,2013,0.00765306,5
AZEWIJN,0.943787,370.357,0.646971,0.0141733,0.62069,2013,0.00626959,5
Afferden,0.631579,337.667,0.1579,0,0.583333,2013,0,5
BAAIDUINEN,0.888889,498.768,0.35499,0,0.553571,2013,0,5
BAAIUM,0.962025,347.842,0.62554,0.0421454,0.578947,2013,0.0131579,5
BAAK,0.941818,383.498,0.605997,0.00854681,0.640927,2013,0.015444,5
BAAMBRUGGE,0.951923,344.239,0.820904,0.0136443,0.604377,2013,0.0858586,5
BAARD,0.93617,227.348,0.513385,0.0292547,0.545455,2013,0.00757576,5
BAARLE-NASSAU,1,256.031,0.501285,0.00358473,0.631366,2013,0.0293423,5
