city,years,lowtarif_cut,lowtarif_cut_count,companies
'S GRAVENHAGE,2015,75,1,stedin
'S GRAVENHAGE,2015,95,2,stedin
'S GRAVENHAGE,2016,45,1,stedin
'S GRAVENHAGE,2016,75,2,stedin
'S GRAVENHAGE,2016,95,5,stedin
'S GRAVENHAGE,2017,55,1,stedin
'S GRAVENHAGE,2017,75,1,stedin
'S GRAVENHAGE,2017,95,1,stedin
'S GRAVENHAGE,2019,75,1,stedin
'S GRAVENMOER,2010,5,3,enexis
'S GRAVENMOER,2010,15,5,enexis
'S GRAVENMOER,2010,25,11,enexis
'S GRAVENMOER,2010,35,11,enexis
'S GRAVENMOER,2010,45,7,enexis
'S GRAVENMOER,2010,55,4,enexis
'S GRAVENMOER,2011,5,2,enexis
'S GRAVENMOER,2011,15,5,enexis
'S GRAVENMOER,2011,25,11,enexis
'S GRAVENMOER,2011,35,11,enexis
'S GRAVENMOER,2011,45,7,enexis
'S GRAVENMOER,2011,55,5,enexis
'S GRAVENMOER,2012,5,2,enexis
'S GRAVENMOER,2012,15,4,enexis
'S GRAVENMOER,2012,25,12,enexis
'S GRAVENMOER,2012,35,9,enexis
'S GRAVENMOER,2012,45,9,enexis
'S GRAVENMOER,2012,55,6,enexis
'S GRAVENMOER,2012,65,2,enexis
'S GRAVENMOER,2013,5,2,enexis
'S GRAVENMOER,2013,15,4,enexis
'S GRAVENMOER,2013,25,10,enexis
'S GRAVENMOER,2013,35,10,enexis
'S GRAVENMOER,2013,45,10,enexis
'S GRAVENMOER,2013,55,8,enexis
'S GRAVENMOER,2014,5,5,enexis
'S GRAVENMOER,2014,15,10,enexis
'S GRAVENMOER,2014,25,10,enexis
'S GRAVENMOER,2014,35,7,enexis
'S GRAVENMOER,2014,45,8,enexis
'S GRAVENMOER,2014,55,4,enexis
'S GRAVENMOER,2014,65,1,enexis
'S GRAVENMOER,2015,5,3,enexis
'S GRAVENMOER,2015,15,12,enexis
'S GRAVENMOER,2015,25,10,enexis
'S GRAVENMOER,2015,35,7,enexis
'S GRAVENMOER,2015,45,7,enexis
'S GRAVENMOER,2015,55,6,enexis
'S GRAVENMOER,2016,5,3,enexis
'S GRAVENMOER,2016,15,11,enexis
'S GRAVENMOER,2016,25,10,enexis
'S GRAVENMOER,2016,35,6,enexis
'S GRAVENMOER,2016,45,8,enexis
'S GRAVENMOER,2016,55,7,enexis
'S GRAVENMOER,2017,5,3,enexis
'S GRAVENMOER,2017,15,9,enexis
'S GRAVENMOER,2017,25,12,enexis
'S GRAVENMOER,2017,35,6,enexis
'S GRAVENMOER,2017,45,8,enexis
'S GRAVENMOER,2017,55,7,enexis
'S GRAVENMOER,2018,5,3,enexis
'S GRAVENMOER,2018,15,11,enexis
'S GRAVENMOER,2018,25,10,enexis
'S GRAVENMOER,2018,35,7,enexis
'S GRAVENMOER,2018,45,11,enexis
'S GRAVENMOER,2018,55,6,enexis
'S GRAVENMOER,2019,5,2,enexis
'S GRAVENMOER,2019,15,6,enexis
'S GRAVENMOER,2019,25,13,enexis
'S GRAVENMOER,2019,35,7,enexis
'S GRAVENMOER,2019,45,15,enexis
'S GRAVENMOER,2019,55,5,enexis
'S-GRAVELAND,2010,5,1,liander
'S-GRAVELAND,2010,15,10,liander
'S-GRAVELAND,2010,25,12,liander
'S-GRAVELAND,2010,35,9,liander
'S-GRAVELAND,2010,45,4,liander
'S-GRAVELAND,2010,55,3,liander
'S-GRAVELAND,2011,5,1,liander
'S-GRAVELAND,2011,15,6,liander
'S-GRAVELAND,2011,25,12,liander
'S-GRAVELAND,2011,35,10,liander
'S-GRAVELAND,2011,45,6,liander
'S-GRAVELAND,2011,55,4,liander
'S-GRAVELAND,2012,5,3,liander
'S-GRAVELAND,2012,15,9,liander
'S-GRAVELAND,2012,25,11,liander
'S-GRAVELAND,2012,35,10,liander
'S-GRAVELAND,2012,45,3,liander
'S-GRAVELAND,2012,55,3,liander
'S-GRAVELAND,2013,5,2,liander
'S-GRAVELAND,2013,15,10,liander
'S-GRAVELAND,2013,25,10,liander
'S-GRAVELAND,2013,35,10,liander
'S-GRAVELAND,2013,45,4,liander
'S-GRAVELAND,2013,55,3,liander
'S-GRAVELAND,2014,5,1,liander
'S-GRAVELAND,2014,15,3,liander
'S-GRAVELAND,2014,25,17,liander
'S-GRAVELAND,2014,35,6,liander
'S-GRAVELAND,2014,45,9,liander
'S-GRAVELAND,2014,55,3,liander
'S-GRAVELAND,2015,5,2,liander
'S-GRAVELAND,2015,15,4,liander
'S-GRAVELAND,2015,25,10,liander
'S-GRAVELAND,2015,35,13,liander
'S-GRAVELAND,2015,45,7,liander
'S-GRAVELAND,2015,55,4,liander
'S-GRAVELAND,2016,25,10,liander
'S-GRAVELAND,2016,35,9,liander
'S-GRAVELAND,2016,45,14,liander
'S-GRAVELAND,2016,55,5,liander
'S-GRAVELAND,2016,65,2,liander
'S-GRAVELAND,2017,25,4,liander
'S-GRAVELAND,2017,35,10,liander
'S-GRAVELAND,2017,45,13,liander
'S-GRAVELAND,2017,55,6,liander
'S-GRAVELAND,2017,65,2,liander
'S-GRAVELAND,2017,75,4,liander
'S-GRAVELAND,2017,85,1,liander
'S-GRAVELAND,2018,25,3,liander
'S-GRAVELAND,2018,35,11,liander
'S-GRAVELAND,2018,45,15,liander
'S-GRAVELAND,2018,55,4,liander
'S-GRAVELAND,2018,65,3,liander
'S-GRAVELAND,2018,75,2,liander
'S-GRAVELAND,2018,85,2,liander
'S-GRAVELAND,2019,25,1,liander
'S-GRAVELAND,2019,35,12,liander
'S-GRAVELAND,2019,45,14,liander
'S-GRAVELAND,2019,55,4,liander
'S-GRAVELAND,2019,65,2,liander
'S-GRAVELAND,2019,75,4,liander
'S-GRAVELAND,2019,85,2,liander
'S-GRAVELAND,2019,95,1,liander
'S-GRAVENDEEL,2010,55,2,stedin
'S-GRAVENDEEL,2010,65,4,stedin
'S-GRAVENDEEL,2010,75,5,stedin
'S-GRAVENDEEL,2010,85,28,stedin
'S-GRAVENDEEL,2010,95,132,stedin
'S-GRAVENDEEL,2011,55,2,stedin
'S-GRAVENDEEL,2011,65,4,stedin
'S-GRAVENDEEL,2011,75,6,stedin
'S-GRAVENDEEL,2011,85,28,stedin
'S-GRAVENDEEL,2011,95,131,stedin
'S-GRAVENDEEL,2012,55,2,stedin
