city,years,smartmeter_cut,smartmeter_cut_count,companies
'S GRAVENHAGE,2015,5,1,stedin
'S GRAVENHAGE,2015,35,1,stedin
'S GRAVENHAGE,2015,95,1,stedin
'S GRAVENHAGE,2016,5,4,stedin
'S GRAVENHAGE,2016,15,1,stedin
'S GRAVENHAGE,2016,35,1,stedin
'S GRAVENHAGE,2016,95,2,stedin
'S GRAVENHAGE,2017,35,1,stedin
'S GRAVENHAGE,2017,45,1,stedin
'S GRAVENHAGE,2017,95,1,stedin
'S GRAVENHAGE,2019,55,1,stedin
'S GRAVENMOER,2010,5,41,enexis
'S GRAVENMOER,2011,5,40,enexis
'S GRAVENMOER,2011,15,1,enexis
'S GRAVENMOER,2012,5,34,enexis
'S GRAVENMOER,2012,15,5,enexis
'S GRAVENMOER,2012,25,2,enexis
'S GRAVENMOER,2012,55,1,enexis
'S GRAVENMOER,2012,95,2,enexis
'S GRAVENMOER,2013,5,32,enexis
'S GRAVENMOER,2013,15,7,enexis
'S GRAVENMOER,2013,25,2,enexis
'S GRAVENMOER,2013,55,1,enexis
'S GRAVENMOER,2013,95,2,enexis
'S GRAVENMOER,2014,5,26,enexis
'S GRAVENMOER,2014,15,11,enexis
'S GRAVENMOER,2014,25,4,enexis
'S GRAVENMOER,2014,65,1,enexis
'S GRAVENMOER,2014,95,3,enexis
'S GRAVENMOER,2015,5,22,enexis
'S GRAVENMOER,2015,15,7,enexis
'S GRAVENMOER,2015,25,10,enexis
'S GRAVENMOER,2015,45,2,enexis
'S GRAVENMOER,2015,65,1,enexis
'S GRAVENMOER,2015,95,3,enexis
'S GRAVENMOER,2016,5,19,enexis
'S GRAVENMOER,2016,15,8,enexis
'S GRAVENMOER,2016,25,10,enexis
'S GRAVENMOER,2016,35,3,enexis
'S GRAVENMOER,2016,65,2,enexis
'S GRAVENMOER,2016,95,3,enexis
'S GRAVENMOER,2017,5,10,enexis
'S GRAVENMOER,2017,15,14,enexis
'S GRAVENMOER,2017,25,11,enexis
'S GRAVENMOER,2017,35,3,enexis
'S GRAVENMOER,2017,45,2,enexis
'S GRAVENMOER,2017,65,2,enexis
'S GRAVENMOER,2017,95,3,enexis
'S GRAVENMOER,2018,5,7,enexis
'S GRAVENMOER,2018,15,11,enexis
'S GRAVENMOER,2018,25,16,enexis
'S GRAVENMOER,2018,35,4,enexis
'S GRAVENMOER,2018,45,4,enexis
'S GRAVENMOER,2018,65,2,enexis
'S GRAVENMOER,2018,95,4,enexis
'S GRAVENMOER,2019,5,3,enexis
'S GRAVENMOER,2019,15,10,enexis
'S GRAVENMOER,2019,25,15,enexis
'S GRAVENMOER,2019,35,7,enexis
'S GRAVENMOER,2019,45,7,enexis
'S GRAVENMOER,2019,65,2,enexis
'S GRAVENMOER,2019,95,4,enexis
'S-GRAVELAND,2010,5,39,liander
'S-GRAVELAND,2011,5,39,liander
'S-GRAVELAND,2012,5,39,liander
'S-GRAVELAND,2013,5,37,liander
'S-GRAVELAND,2013,15,1,liander
'S-GRAVELAND,2013,45,1,liander
'S-GRAVELAND,2014,5,31,liander
'S-GRAVELAND,2014,15,7,liander
'S-GRAVELAND,2014,45,1,liander
'S-GRAVELAND,2015,5,25,liander
'S-GRAVELAND,2015,15,12,liander
'S-GRAVELAND,2015,25,2,liander
'S-GRAVELAND,2015,45,1,liander
