city,years,c_per_conn_cut,c_per_conn_cut_count,companies
'S GRAVENDEEL,2015,130,1,stedin
'S GRAVENDEEL,2016,110,1,stedin
'S GRAVENDEEL,2017,110,1,stedin
'S GRAVENDEEL,2018,110,1,stedin
'S GRAVENHAGE,2015,50,1,stedin
'S GRAVENHAGE,2015,190,1,stedin
'S GRAVENHAGE,2016,50,3,stedin
'S GRAVENHAGE,2016,70,3,stedin
'S GRAVENHAGE,2016,90,1,stedin
'S GRAVENHAGE,2016,150,2,stedin
'S GRAVENHAGE,2016,190,1,stedin
'S GRAVENHAGE,2017,50,1,stedin
'S GRAVENHAGE,2017,70,2,stedin
'S GRAVENHAGE,2017,90,1,stedin
'S GRAVENHAGE,2017,150,1,stedin
'S GRAVENHAGE,2018,50,1,stedin
'S GRAVENMOER,2012,50,5,enexis
'S GRAVENMOER,2012,70,8,enexis
'S GRAVENMOER,2012,90,3,enexis
'S GRAVENMOER,2012,110,6,enexis
'S GRAVENMOER,2012,130,3,enexis
'S GRAVENMOER,2012,150,4,enexis
'S GRAVENMOER,2012,170,7,enexis
'S GRAVENMOER,2012,190,8,enexis
'S GRAVENMOER,2013,50,7,enexis
'S GRAVENMOER,2013,70,7,enexis
'S GRAVENMOER,2013,90,3,enexis
'S GRAVENMOER,2013,110,5,enexis
'S GRAVENMOER,2013,130,3,enexis
'S GRAVENMOER,2013,150,4,enexis
'S GRAVENMOER,2013,170,8,enexis
'S GRAVENMOER,2013,190,7,enexis
'S GRAVENMOER,2014,30,1,enexis
'S GRAVENMOER,2014,50,7,enexis
'S GRAVENMOER,2014,70,7,enexis
'S GRAVENMOER,2014,90,5,enexis
'S GRAVENMOER,2014,110,4,enexis
'S GRAVENMOER,2014,130,4,enexis
'S GRAVENMOER,2014,150,5,enexis
'S GRAVENMOER,2014,170,7,enexis
'S GRAVENMOER,2014,190,5,enexis
'S GRAVENMOER,2015,30,3,enexis
'S GRAVENMOER,2015,50,8,enexis
'S GRAVENMOER,2015,70,6,enexis
'S GRAVENMOER,2015,90,5,enexis
'S GRAVENMOER,2015,110,4,enexis
'S GRAVENMOER,2015,130,6,enexis
'S GRAVENMOER,2015,150,9,enexis
'S GRAVENMOER,2015,190,4,enexis
'S GRAVENMOER,2016,30,3,enexis
'S GRAVENMOER,2016,50,8,enexis
'S GRAVENMOER,2016,70,6,enexis
'S GRAVENMOER,2016,90,5,enexis
'S GRAVENMOER,2016,110,4,enexis
'S GRAVENMOER,2016,130,5,enexis
'S GRAVENMOER,2016,150,7,enexis
'S GRAVENMOER,2016,170,2,enexis
'S GRAVENMOER,2016,190,5,enexis
'S GRAVENMOER,2017,30,3,enexis
'S GRAVENMOER,2017,50,8,enexis
'S GRAVENMOER,2017,70,7,enexis
'S GRAVENMOER,2017,90,4,enexis
'S GRAVENMOER,2017,110,5,enexis
'S GRAVENMOER,2017,130,8,enexis
'S GRAVENMOER,2017,150,6,enexis
'S GRAVENMOER,2017,170,1,enexis
'S GRAVENMOER,2017,190,3,enexis
'S GRAVENMOER,2018,30,3,enexis
'S GRAVENMOER,2018,50,9,enexis
'S GRAVENMOER,2018,70,7,enexis
'S GRAVENMOER,2018,90,6,enexis
'S GRAVENMOER,2018,110,5,enexis
'S GRAVENMOER,2018,130,6,enexis
'S GRAVENMOER,2018,150,6,enexis
'S GRAVENMOER,2018,170,3,enexis
'S GRAVENMOER,2018,190,2,enexis
'S GRAVENMOER,2019,30,3,enexis
'S GRAVENMOER,2019,50,9,enexis
'S GRAVENMOER,2019,70,7,enexis
'S GRAVENMOER,2019,90,7,enexis
'S GRAVENMOER,2019,110,3,enexis
'S GRAVENMOER,2019,130,8,enexis
'S GRAVENMOER,2019,150,6,enexis
'S GRAVENMOER,2019,170,2,enexis
'S GRAVENMOER,2019,190,2,enexis
'S-GRAVELAND,2010,30,1,liander
'S-GRAVELAND,2010,50,2,liander
'S-GRAVELAND,2010,90,2,liander
'S-GRAVELAND,2010,110,10,liander
'S-GRAVELAND,2010,130,5,liander
'S-GRAVELAND,2010,150,5,liander
'S-GRAVELAND,2010,170,1,liander
'S-GRAVELAND,2010,190,7,liander
'S-GRAVELAND,2011,30,1,liander
'S-GRAVELAND,2011,50,2,liander
'S-GRAVELAND,2011,70,1,liander
'S-GRAVELAND,2011,90,3,liander
'S-GRAVELAND,2011,110,8,liander
'S-GRAVELAND,2011,130,6,liander
'S-GRAVELAND,2011,150,4,liander
'S-GRAVELAND,2011,170,1,liander
'S-GRAVELAND,2011,190,7,liander
'S-GRAVELAND,2012,30,1,liander
'S-GRAVELAND,2012,50,3,liander
'S-GRAVELAND,2012,70,1,liander
'S-GRAVELAND,2012,90,3,liander
'S-GRAVELAND,2012,110,9,liander
'S-GRAVELAND,2012,130,5,liander
'S-GRAVELAND,2012,150,4,liander
'S-GRAVELAND,2012,170,1,liander
'S-GRAVELAND,2012,190,7,liander
'S-GRAVELAND,2013,30,1,liander
'S-GRAVELAND,2013,50,3,liander
'S-GRAVELAND,2013,70,1,liander
'S-GRAVELAND,2013,90,3,liander
'S-GRAVELAND,2013,110,9,liander
'S-GRAVELAND,2013,130,8,liander
'S-GRAVELAND,2013,150,1,liander
'S-GRAVELAND,2013,170,1,liander
'S-GRAVELAND,2013,190,7,liander
'S-GRAVELAND,2014,30,2,liander
'S-GRAVELAND,2014,50,2,liander
'S-GRAVELAND,2014,70,1,liander
'S-GRAVELAND,2014,90,4,liander
'S-GRAVELAND,2014,110,9,liander
'S-GRAVELAND,2014,130,5,liander
'S-GRAVELAND,2014,150,3,liander
'S-GRAVELAND,2014,170,1,liander
'S-GRAVELAND,2014,190,7,liander
'S-GRAVELAND,2015,30,2,liander
'S-GRAVELAND,2015,50,2,liander
'S-GRAVELAND,2015,70,1,liander
'S-GRAVELAND,2015,90,8,liander
'S-GRAVELAND,2015,110,7,liander
'S-GRAVELAND,2015,130,4,liander
'S-GRAVELAND,2015,150,3,liander
'S-GRAVELAND,2015,170,1,liander
'S-GRAVELAND,2015,190,6,liander
'S-GRAVELAND,2016,30,2,liander
'S-GRAVELAND,2016,50,3,liander
'S-GRAVELAND,2016,70,1,liander
'S-GRAVELAND,2016,90,7,liander
'S-GRAVELAND,2016,110,10,liander
'S-GRAVELAND,2016,130,2,liander
'S-GRAVELAND,2016,150,2,liander
'S-GRAVELAND,2016,190,7,liander
'S-GRAVELAND,2017,30,2,liander
'S-GRAVELAND,2017,50,2,liander
'S-GRAVELAND,2017,70,3,liander
'S-GRAVELAND,2017,90,8,liander
'S-GRAVELAND,2017,110,8,liander
'S-GRAVELAND,2017,130,2,liander
'S-GRAVELAND,2017,150,3,liander
'S-GRAVELAND,2017,190,7,liander
'S-GRAVELAND,2018,30,2,liander
'S-GRAVELAND,2018,50,2,liander
'S-GRAVELAND,2018,70,3,liander
'S-GRAVELAND,2018,90,5,liander
'S-GRAVELAND,2018,110,11,liander
'S-GRAVELAND,2018,130,3,liander
'S-GRAVELAND,2018,150,2,liander
'S-GRAVELAND,2018,190,7,liander
'S-GRAVELAND,2019,10,1,liander
'S-GRAVELAND,2019,30,1,liander
'S-GRAVELAND,2019,50,1,liander
'S-GRAVELAND,2019,70,5,liander
'S-GRAVELAND,2019,90,5,liander
'S-GRAVELAND,2019,110,11,liander
'S-GRAVELAND,2019,130,3,liander
'S-GRAVELAND,2019,150,1,liander
'S-GRAVELAND,2019,190,7,liander
'S-GRAVENDEEL,2010,10,3,stedin
'S-GRAVENDEEL,2010,30,20,stedin
'S-GRAVENDEEL,2010,50,35,stedin
'S-GRAVENDEEL,2010,70,32,stedin
'S-GRAVENDEEL,2010,90,27,stedin
'S-GRAVENDEEL,2010,110,15,stedin
'S-GRAVENDEEL,2010,130,7,stedin
'S-GRAVENDEEL,2010,150,9,stedin
'S-GRAVENDEEL,2010,170,5,stedin
'S-GRAVENDEEL,2010,190,14,stedin
'S-GRAVENDEEL,2011,10,3,stedin
'S-GRAVENDEEL,2011,30,21,stedin
'S-GRAVENDEEL,2011,50,36,stedin
'S-GRAVENDEEL,2011,70,30,stedin
'S-GRAVENDEEL,2011,90,27,stedin
'S-GRAVENDEEL,2011,110,15,stedin
'S-GRAVENDEEL,2011,130,7,stedin
'S-GRAVENDEEL,2011,150,9,stedin
'S-GRAVENDEEL,2011,170,5,stedin
'S-GRAVENDEEL,2011,190,14,stedin
'S-GRAVENDEEL,2012,10,4,stedin
'S-GRAVENDEEL,2012,30,20,stedin
'S-GRAVENDEEL,2012,50,36,stedin
'S-GRAVENDEEL,2012,70,30,stedin
'S-GRAVENDEEL,2012,90,27,stedin
'S-GRAVENDEEL,2012,110,15,stedin
'S-GRAVENDEEL,2012,130,7,stedin
'S-GRAVENDEEL,2012,150,9,stedin
'S-GRAVENDEEL,2012,170,5,stedin
'S-GRAVENDEEL,2012,190,14,stedin
'S-GRAVENDEEL,2013,10,4,stedin
'S-GRAVENDEEL,2013,30,21,stedin
'S-GRAVENDEEL,2013,50,35,stedin
'S-GRAVENDEEL,2013,70,29,stedin
'S-GRAVENDEEL,2013,90,30,stedin
'S-GRAVENDEEL,2013,110,14,stedin
'S-GRAVENDEEL,2013,130,7,stedin
'S-GRAVENDEEL,2013,150,6,stedin
'S-GRAVENDEEL,2013,170,9,stedin
'S-GRAVENDEEL,2013,190,13,stedin
'S-GRAVENDEEL,2014,10,4,stedin
'S-GRAVENDEEL,2014,30,21,stedin
'S-GRAVENDEEL,2014,50,38,stedin
'S-GRAVENDEEL,2014,70,28,stedin
'S-GRAVENDEEL,2014,90,28,stedin
'S-GRAVENDEEL,2014,110,13,stedin
'S-GRAVENDEEL,2014,130,9,stedin
'S-GRAVENDEEL,2014,150,10,stedin
'S-GRAVENDEEL,2014,170,3,stedin
'S-GRAVENDEEL,2014,190,14,stedin
'S-GRAVENDEEL,2015,10,4,stedin
