city,years,companies,annual_consume
'S GRAVENDEEL,2015,stedin,1.459
'S GRAVENDEEL,2016,stedin,1.344
'S GRAVENDEEL,2017,stedin,1.363
'S GRAVENDEEL,2018,stedin,1.365
'S GRAVENHAGE,2015,stedin,4.2
'S GRAVENHAGE,2016,stedin,16.66
'S GRAVENHAGE,2017,stedin,8.815
'S GRAVENHAGE,2018,stedin,1.499
'S GRAVENMOER,2012,enexis,103.279
'S GRAVENMOER,2013,enexis,103.464
'S GRAVENMOER,2014,enexis,101.305
'S GRAVENMOER,2015,enexis,90.49
'S GRAVENMOER,2016,enexis,93.02
'S GRAVENMOER,2017,enexis,87.477
'S GRAVENMOER,2018,enexis,92.632
'S GRAVENMOER,2019,enexis,91.956
'S-GRAVELAND,2010,liander,90.928
'S-GRAVELAND,2011,liander,89.392
'S-GRAVELAND,2012,liander,92.944
'S-GRAVELAND,2013,liander,90.998
'S-GRAVELAND,2014,liander,92.148
'S-GRAVELAND,2015,liander,88.382
'S-GRAVELAND,2016,liander,87.368
'S-GRAVELAND,2017,liander,88.34
'S-GRAVELAND,2018,liander,87.937
'S-GRAVELAND,2019,liander,88.295
'S-GRAVENDEEL,2010,stedin,297.337
'S-GRAVENDEEL,2011,stedin,296.659
'S-GRAVENDEEL,2012,stedin,296.68
'S-GRAVENDEEL,2013,stedin,301.072
'S-GRAVENDEEL,2014,stedin,294.441
'S-GRAVENDEEL,2015,stedin,285.766
'S-GRAVENDEEL,2016,stedin,268.639
'S-GRAVENDEEL,2017,stedin,264.713
'S-GRAVENDEEL,2018,stedin,265.962
'S-GRAVENDEEL,2019,stedin,261.548
'S-GRAVENHAGE,2010,stedin,16008.8
'S-GRAVENHAGE,2011,stedin,16066.6
'S-GRAVENHAGE,2012,stedin,16096.7
'S-GRAVENHAGE,2013,stedin,15990
'S-GRAVENHAGE,2014,stedin,15817.5
'S-GRAVENHAGE,2015,stedin,15461
'S-GRAVENHAGE,2016,stedin,15090.4
'S-GRAVENHAGE,2017,stedin,14924.3
'S-GRAVENHAGE,2018,stedin,14885.2
'S-GRAVENHAGE,2019,stedin,14591.2
'S-HEERENBERG,2010,liander,373.24
'S-HEERENBERG,2011,liander,377.265
'S-HEERENBERG,2012,liander,386.691
'S-HEERENBERG,2013,liander,354.75
'S-HEERENBERG,2014,liander,358.524
'S-HEERENBERG,2015,liander,337.402
'S-HEERENBERG,2016,liander,332.835
'S-HEERENBERG,2017,liander,324.286
'S-HEERENBERG,2018,liander,332.454
'S-HEERENBERG,2019,liander,338.922
'S-HEERENBROEK,2010,enexis,20.592
'S-HEERENBROEK,2011,enexis,20.657
'S-HEERENBROEK,2012,enexis,20.482
'S-HEERENBROEK,2013,enexis,19.722
'S-HEERENBROEK,2014,enexis,18.909
'S-HEERENBROEK,2015,enexis,18.512
'S-HEERENBROEK,2016,enexis,17.721
'S-HEERENBROEK,2017,enexis,20.106
'S-HEERENBROEK,2018,enexis,22.236
'S-HEERENBROEK,2019,enexis,22.06
'S-HERTOGENBOSCH,2010,enexis,3909.8
'S-HERTOGENBOSCH,2011,enexis,3930.03
'S-HERTOGENBOSCH,2012,enexis,3754.68
'S-HERTOGENBOSCH,2013,enexis,3690.47
'S-HERTOGENBOSCH,2014,enexis,3643.83
'S-HERTOGENBOSCH,2015,enexis,3516.09
'S-HERTOGENBOSCH,2016,enexis,3419.17
'S-HERTOGENBOSCH,2017,enexis,3345.62
'S-HERTOGENBOSCH,2018,enexis,3643.5
'S-HERTOGENBOSCH,2019,enexis,3606.97
'T GOY,2010,stedin,34.445
'T GOY,2011,stedin,34.445
'T GOY,2012,stedin,34.445
'T GOY,2013,stedin,33.685
'T GOY,2014,stedin,33.822
'T GOY,2015,stedin,33.357
'T GOY,2016,stedin,33.176
'T GOY,2017,stedin,31.133
'T GOY,2018,stedin,30.686
'T GOY,2019,stedin,31.794
'T HAANTJE,2010,enexis,9.734
'T HAANTJE,2011,enexis,9.89
'T HAANTJE,2012,enexis,9.523
'T HAANTJE,2013,enexis,9.386
'T HAANTJE,2014,enexis,9.023
'T HAANTJE,2015,enexis,8.714
'T HAANTJE,2016,enexis,8.494
'T HAANTJE,2017,enexis,8.457
'T HAANTJE,2018,enexis,8.37
'T HAANTJE,2019,enexis,8.388
'T HARDE,2010,liander,318.096
'T HARDE,2011,liander,320.972
'T HARDE,2012,liander,306.611
'T HARDE,2013,liander,297.075
'T HARDE,2014,liander,294.462
'T HARDE,2015,liander,282.752
'T HARDE,2016,liander,276.806
'T HARDE,2017,liander,273.857
'T HARDE,2018,liander,276.997
'T HARDE,2019,liander,272.919
'T LOO OLDEBROEK,2010,liander,53.024
'T LOO OLDEBROEK,2011,liander,53.218
'T LOO OLDEBROEK,2012,liander,50.39
'T LOO OLDEBROEK,2013,liander,49.249
'T LOO OLDEBROEK,2014,liander,48.808
'T LOO OLDEBROEK,2015,liander,47.748
'T LOO OLDEBROEK,2016,liander,45.92
'T LOO OLDEBROEK,2017,liander,45.786
'T LOO OLDEBROEK,2018,liander,48.155
'T LOO OLDEBROEK,2019,liander,47.297
'T VELD,2010,liander,81.755
'T VELD,2011,liander,81.573
'T VELD,2012,liander,80.291
'T VELD,2013,liander,76.593
'T VELD,2014,liander,75.832
'T VELD,2015,liander,75.142
'T VELD,2016,liander,78.076
'T VELD,2017,liander,76.107
'T VELD,2018,liander,73.213
'T VELD,2019,liander,72.52
'T WAAR,2010,enexis,6.653
'T WAAR,2011,enexis,6.976
'T WAAR,2012,enexis,7.651
'T WAAR,2013,enexis,7.903
'T WAAR,2014,enexis,6.745
'T WAAR,2015,enexis,6.455
'T WAAR,2016,enexis,6.755
'T WAAR,2017,enexis,6.456
'T WAAR,2018,enexis,10.496
'T WAAR,2019,enexis,10.24
'T ZAND NH,2010,liander,134.626
'T ZAND NH,2011,liander,131.749
'T ZAND NH,2012,liander,130.277
'T ZAND NH,2013,liander,136.93
'T ZAND NH,2014,liander,135.422
'T ZAND NH,2015,liander,130.723
'T ZAND NH,2016,liander,133.092
'T ZAND NH,2017,liander,129.544
'T ZAND NH,2018,liander,129.12
'T ZAND NH,2019,liander,126.625
'T ZANDT GN,2010,enexis,42.227
'T ZANDT GN,2011,enexis,42.625
'T ZANDT GN,2012,enexis,45.7
'T ZANDT GN,2013,enexis,45.491
'T ZANDT GN,2014,enexis,44.301
'T ZANDT GN,2015,enexis,42.738
'T ZANDT GN,2016,enexis,39.882
'T ZANDT GN,2017,enexis,38.189
'T ZANDT GN,2018,enexis,44.741
'T ZANDT GN,2019,enexis,43.926
1E EXLOERMOND,2010,enexis,19.667
1E EXLOERMOND,2011,enexis,20.476
1E EXLOERMOND,2012,enexis,18.802
1E EXLOERMOND,2013,enexis,18.027
1E EXLOERMOND,2014,enexis,18.45
1E EXLOERMOND,2015,enexis,18.212
1E EXLOERMOND,2016,enexis,15.193
1E EXLOERMOND,2017,enexis,15.59
1E EXLOERMOND,2018,enexis,15.715
1E EXLOERMOND,2019,enexis,15.568
2E EXLOERMOND,2010,enexis,131.438
2E EXLOERMOND,2011,enexis,129.976
2E EXLOERMOND,2012,enexis,129.932
2E EXLOERMOND,2013,enexis,133.145
2E EXLOERMOND,2014,enexis,128.47
2E EXLOERMOND,2015,enexis,123.184
2E EXLOERMOND,2016,enexis,123.323
2E EXLOERMOND,2017,enexis,125.471
2E EXLOERMOND,2018,enexis,128.503
2E EXLOERMOND,2019,enexis,124.873
2E VALTHERMOND,2010,enexis,9.322
2E VALTHERMOND,2011,enexis,9.407
2E VALTHERMOND,2012,enexis,6.266
2E VALTHERMOND,2013,enexis,9.431
2E VALTHERMOND,2014,enexis,9.086
2E VALTHERMOND,2015,enexis,9.371
2E VALTHERMOND,2016,enexis,9.013
2E VALTHERMOND,2017,enexis,9.473
2E VALTHERMOND,2018,enexis,8.928
2E VALTHERMOND,2019,enexis,8.183
AALDEN,2010,enexis,73.36
AALDEN,2011,enexis,74.349
AALDEN,2012,enexis,76.712
AALDEN,2013,enexis,75.167
AALDEN,2014,enexis,78.064
AALDEN,2015,enexis,76.268
AALDEN,2016,enexis,72.812
AALDEN,2017,enexis,75.108
AALDEN,2018,enexis,88.7
AALDEN,2019,enexis,86.971
AALSMEER,2010,stedin,951.197
AALSMEER,2011,stedin,952.111
AALSMEER,2012,stedin,961.82
AALSMEER,2013,stedin,953.853
AALSMEER,2014,stedin,930.737
AALSMEER,2015,stedin,910.093
AALSMEER,2016,stedin,876.503
AALSMEER,2017,stedin,885.899
AALSMEER,2018,stedin,893.146
AALSMEER,2019,stedin,887.268
AALSMEERDERBRUG,2011,liander,32.503
AALSMEERDERBRUG,2012,liander,32.479
AALSMEERDERBRUG,2013,liander,31.383
AALSMEERDERBRUG,2014,liander,30.454
AALSMEERDERBRUG,2015,liander,28.838
AALSMEERDERBRUG,2016,liander,28.028
AALSMEERDERBRUG,2017,liander,27.967
AALSMEERDERBRUG,2018,liander,27.707
AALSMEERDERBRUG,2019,liander,27.792
AALST GLD,2010,liander,88.63
AALST GLD,2011,liander,86.545
AALST GLD,2012,liander,83.701
AALST GLD,2013,liander,82.048
AALST GLD,2014,liander,82.145
AALST GLD,2015,liander,77.97
AALST GLD,2016,liander,78.157
AALST GLD,2017,liander,75.52
AALST GLD,2018,liander,76.862
AALST GLD,2019,liander,76.876
AALSUM,2010,stedin,9.916
AALSUM,2011,stedin,9.916
AALSUM,2012,stedin,9.916
AALSUM,2013,stedin,9.574
AALSUM,2014,stedin,9.484
AALSUM,2015,stedin,9.189
AALSUM,2016,stedin,8.958
AALSUM,2017,stedin,8.991
AALSUM,2018,stedin,8.888
AALSUM,2019,stedin,8.487
AALTEN,2010,liander,910.712
AALTEN,2011,liander,896.702
AALTEN,2012,liander,902.47
AALTEN,2013,liander,845.013
AALTEN,2014,liander,836.083
AALTEN,2015,liander,803.308
AALTEN,2016,liander,794.539
AALTEN,2017,liander,781.324
AALTEN,2018,liander,804.965
AALTEN,2019,liander,792.372
AARLANDERVEEN,2010,liander,63.746
AARLANDERVEEN,2011,liander,64.752
AARLANDERVEEN,2012,liander,61.225
AARLANDERVEEN,2013,liander,59.775
AARLANDERVEEN,2014,liander,58.229
AARLANDERVEEN,2015,liander,58.315
AARLANDERVEEN,2016,liander,57.455
AARLANDERVEEN,2017,liander,55.241
AARLANDERVEEN,2018,liander,54.634
AARLANDERVEEN,2019,liander,56.016
AARLE-RIXTEL,2017,enexis,223.071
AARLE-RIXTEL,2018,enexis,244.023
