city,years,smartmeter_cut,smartmeter_cut_count,companies
'S GRAVENDEEL,2015,95,1,stedin
'S GRAVENDEEL,2016,95,1,stedin
'S GRAVENDEEL,2017,95,1,stedin
'S GRAVENDEEL,2018,95,1,stedin
'S GRAVENHAGE,2015,5,1,stedin
'S GRAVENHAGE,2015,25,1,stedin
'S GRAVENHAGE,2016,5,7,stedin
'S GRAVENHAGE,2016,15,1,stedin
'S GRAVENHAGE,2016,25,1,stedin
'S GRAVENHAGE,2016,95,1,stedin
'S GRAVENHAGE,2017,5,2,stedin
'S GRAVENHAGE,2017,15,1,stedin
'S GRAVENHAGE,2017,25,1,stedin
'S GRAVENHAGE,2017,95,1,stedin
'S GRAVENHAGE,2018,55,1,stedin
'S GRAVENMOER,2012,5,44,enexis
'S GRAVENMOER,2013,5,44,enexis
'S GRAVENMOER,2014,5,45,enexis
'S GRAVENMOER,2015,5,2,enexis
'S GRAVENMOER,2015,15,43,enexis
'S GRAVENMOER,2016,15,45,enexis
'S GRAVENMOER,2017,15,1,enexis
'S GRAVENMOER,2017,25,33,enexis
'S GRAVENMOER,2017,35,11,enexis
'S GRAVENMOER,2018,25,2,enexis
'S GRAVENMOER,2018,35,17,enexis
'S GRAVENMOER,2018,45,28,enexis
'S GRAVENMOER,2019,35,3,enexis
'S GRAVENMOER,2019,45,9,enexis
'S GRAVENMOER,2019,55,27,enexis
'S GRAVENMOER,2019,65,8,enexis
'S-GRAVELAND,2010,5,33,liander
'S-GRAVELAND,2011,5,33,liander
'S-GRAVELAND,2012,5,34,liander
'S-GRAVELAND,2013,5,33,liander
'S-GRAVELAND,2013,45,1,liander
'S-GRAVELAND,2014,5,29,liander
'S-GRAVELAND,2014,15,3,liander
'S-GRAVELAND,2014,25,1,liander
'S-GRAVELAND,2014,45,1,liander
'S-GRAVELAND,2015,5,21,liander
'S-GRAVELAND,2015,15,10,liander
'S-GRAVELAND,2015,25,2,liander
'S-GRAVELAND,2015,45,1,liander
'S-GRAVELAND,2016,5,8,liander
'S-GRAVELAND,2016,15,12,liander
'S-GRAVELAND,2016,25,10,liander
'S-GRAVELAND,2016,35,2,liander
'S-GRAVELAND,2016,45,2,liander
'S-GRAVELAND,2017,5,4,liander
'S-GRAVELAND,2017,15,12,liander
'S-GRAVELAND,2017,25,5,liander
'S-GRAVELAND,2017,35,6,liander
'S-GRAVELAND,2017,45,3,liander
'S-GRAVELAND,2017,55,1,liander
'S-GRAVELAND,2017,65,1,liander
'S-GRAVELAND,2017,75,1,liander
'S-GRAVELAND,2017,85,1,liander
'S-GRAVELAND,2017,95,1,liander
'S-GRAVELAND,2018,15,12,liander
'S-GRAVELAND,2018,25,6,liander
'S-GRAVELAND,2018,35,8,liander
'S-GRAVELAND,2018,45,2,liander
'S-GRAVELAND,2018,55,2,liander
'S-GRAVELAND,2018,65,2,liander
'S-GRAVELAND,2018,85,2,liander
'S-GRAVELAND,2018,95,1,liander
'S-GRAVELAND,2019,15,7,liander
'S-GRAVELAND,2019,25,9,liander
'S-GRAVELAND,2019,35,10,liander
'S-GRAVELAND,2019,45,2,liander
'S-GRAVELAND,2019,55,1,liander
'S-GRAVELAND,2019,65,3,liander
'S-GRAVELAND,2019,85,2,liander
'S-GRAVELAND,2019,95,1,liander
'S-GRAVENDEEL,2010,5,162,stedin
'S-GRAVENDEEL,2010,15,1,stedin
'S-GRAVENDEEL,2010,25,1,stedin
'S-GRAVENDEEL,2010,55,1,stedin
'S-GRAVENDEEL,2010,85,1,stedin
'S-GRAVENDEEL,2010,95,1,stedin
'S-GRAVENDEEL,2011,5,162,stedin
'S-GRAVENDEEL,2011,15,1,stedin
'S-GRAVENDEEL,2011,45,1,stedin
'S-GRAVENDEEL,2011,55,1,stedin
'S-GRAVENDEEL,2011,85,1,stedin
'S-GRAVENDEEL,2011,95,1,stedin
