city,years,companies,annual_consume,smartmeter_perc,c_per_conn
'S GRAVENDEEL,2015,stedin,1459,91.67,121.583
'S GRAVENDEEL,2016,stedin,1344,91.67,112
'S GRAVENDEEL,2017,stedin,1363,91.67,113.583
'S GRAVENDEEL,2018,stedin,1365,91.67,113.75
'S GRAVENHAGE,2015,stedin,4200,10.715,121.674
'S GRAVENHAGE,2016,stedin,16660,16.074,91.3553
'S GRAVENHAGE,2017,stedin,8815,27.39,81.4793
'S GRAVENHAGE,2018,stedin,1499,52.94,44.0882
'S GRAVENMOER,2012,enexis,103279,2.7272,126.672
'S GRAVENMOER,2013,enexis,103464,5.08402,123.493
'S GRAVENMOER,2014,enexis,101305,7.56944,117.555
'S GRAVENMOER,2015,enexis,90490,11.2654,105.148
'S GRAVENMOER,2016,enexis,93020,16.9521,108.387
'S GRAVENMOER,2017,enexis,87477,27.5745,101.093
'S GRAVENMOER,2018,enexis,92632.4,40.2423,100.883
'S GRAVENMOER,2019,enexis,91956.1,53.1607,100.144
'S-GRAVELAND,2010,liander,90928,0,147.358
'S-GRAVELAND,2011,liander,89392,0,144.546
'S-GRAVELAND,2012,liander,92944,0,153.875
'S-GRAVELAND,2013,liander,90998,2.81206,148.652
'S-GRAVELAND,2014,liander,92148,5.77471,151.106
'S-GRAVELAND,2015,liander,88382,8.69794,143.877
'S-GRAVELAND,2016,liander,87368,18.6132,142.758
'S-GRAVELAND,2017,liander,88340,29.4169,139.617
'S-GRAVELAND,2018,liander,87937,34.2709,137.988
'S-GRAVELAND,2019,liander,88295,36.9909,137.419
'S-GRAVENDEEL,2010,stedin,297337,2.03886,94.2039
'S-GRAVENDEEL,2011,stedin,296659,2.15862,93.8086
'S-GRAVENDEEL,2012,stedin,296680,2.07533,93.6945
'S-GRAVENDEEL,2013,stedin,301072,3.36792,93.9775
'S-GRAVENDEEL,2014,stedin,294441,7.34202,91.7989
'S-GRAVENDEEL,2015,stedin,285766,89.8816,89.1914
'S-GRAVENDEEL,2016,stedin,268639,90.4531,83.219
'S-GRAVENDEEL,2017,stedin,264713,90.4744,82.0772
'S-GRAVENDEEL,2018,stedin,265962,89.9911,81.5372
'S-GRAVENDEEL,2019,stedin,261548,93.4691,82.431
'S-GRAVENHAGE,2010,stedin,1.60088e+07,3.99339,84.3183
'S-GRAVENHAGE,2011,stedin,1.60666e+07,4.10391,84.2059
'S-GRAVENHAGE,2012,stedin,1.60967e+07,4.1394,84.2317
'S-GRAVENHAGE,2013,stedin,1.599e+07,4.46932,83.5558
'S-GRAVENHAGE,2014,stedin,1.58175e+07,5.66875,82.4239
'S-GRAVENHAGE,2015,stedin,1.5461e+07,7.59626,80.3798
'S-GRAVENHAGE,2016,stedin,1.50904e+07,10.4242,78.1426
'S-GRAVENHAGE,2017,stedin,1.49243e+07,14.3042,76.894
'S-GRAVENHAGE,2018,stedin,1.48852e+07,20.3064,76.1882
'S-GRAVENHAGE,2019,stedin,1.45912e+07,35.568,78.2948
'S-HEERENBERG,2010,liander,373240,0.0841714,117.767
'S-HEERENBERG,2011,liander,377265,0.109545,119.56
'S-HEERENBERG,2012,liander,386691,0.129101,120.85
'S-HEERENBERG,2013,liander,354750,1.62411,108.198
'S-HEERENBERG,2014,liander,358524,8.78973,105.123
'S-HEERENBERG,2015,liander,337402,10.7908,98.0024
'S-HEERENBERG,2016,liander,332835,13.737,96.0602
'S-HEERENBERG,2017,liander,324286,18.4079,93.374
'S-HEERENBERG,2018,liander,332454,32.3082,95.2494
'S-HEERENBERG,2019,liander,338922,78.3488,97.5458
'S-HEERENBROEK,2010,enexis,20592,1.86444,122.633
'S-HEERENBROEK,2011,enexis,20657,1.95923,123.085
