city,years,companies,smartmeter_perc,annual_consume_lowtarif_perc,annual_consume
'S GRAVENHAGE,2015,stedin,43.2133,91.6667,11.432
'S GRAVENHAGE,2016,stedin,31.6725,87.0588,34.385
'S GRAVENHAGE,2017,stedin,57.06,75.49,12.578
'S GRAVENHAGE,2019,stedin,57.14,71.43,2.227
'S GRAVENMOER,2010,enexis,0,30.5854,223.824
'S GRAVENMOER,2011,enexis,0.609756,32,220.8
'S GRAVENMOER,2012,enexis,9.27273,34.2955,227.955
'S GRAVENMOER,2013,enexis,10.8864,34.75,224.261
'S GRAVENMOER,2014,enexis,15.3333,29.2222,224.292
'S GRAVENMOER,2015,enexis,19.2444,28.8222,217.158
'S GRAVENMOER,2016,enexis,21.2889,29.8889,216.509
'S GRAVENMOER,2017,enexis,24.9556,31.1333,214.627
'S GRAVENMOER,2018,enexis,28.8381,32.2535,220.627
'S GRAVENMOER,2019,enexis,32.8256,33.6463,219.47
'S-GRAVELAND,2010,liander,0,28.0385,227.045
'S-GRAVELAND,2011,liander,0,31.0644,220.58
'S-GRAVELAND,2012,liander,0,26.9059,213.783
'S-GRAVELAND,2013,liander,2.5641,28.5556,225.722
'S-GRAVELAND,2014,liander,5.18128,31.4651,222.511
'S-GRAVELAND,2015,liander,8.3075,32.2782,218.542
'S-GRAVELAND,2016,liander,17.0792,39.488,219.554
'S-GRAVELAND,2017,liander,26.0308,46.0288,215.027
'S-GRAVELAND,2018,liander,30.2755,46.0605,212.734
'S-GRAVELAND,2019,liander,33.8165,49.386,199.62
'S-GRAVENDEEL,2010,stedin,2.07561,93.4392,777.937
'S-GRAVENDEEL,2011,stedin,2.17608,93.3225,775.547
'S-GRAVENDEEL,2012,stedin,2.14287,93.3532,776.571
'S-GRAVENDEEL,2013,stedin,3.4632,93.5625,777.578
'S-GRAVENDEEL,2014,stedin,7.6985,93.5157,776.696
'S-GRAVENDEEL,2015,stedin,90.9054,92.7573,742.234
'S-GRAVENDEEL,2016,stedin,91.392,97.6584,711.167
'S-GRAVENDEEL,2017,stedin,91.3502,98.1737,710.876
'S-GRAVENDEEL,2018,stedin,90.8394,98.2259,688.381
'S-GRAVENDEEL,2019,stedin,95.4759,99.1911,675.637
'S-GRAVENHAGE,2010,liander,0,74.42,6.602
'S-GRAVENHAGE,2010,stedin,4.97969,59.3089,40990.3
'S-GRAVENHAGE,2011,liander,0,79.07,6.449
'S-GRAVENHAGE,2011,stedin,5.12195,59.4875,41283.7
'S-GRAVENHAGE,2012,liander,0,70.21,5.995
'S-GRAVENHAGE,2012,stedin,5.18841,59.5677,41525.4
'S-GRAVENHAGE,2013,liander,7.84,76.47,6.373
'S-GRAVENHAGE,2013,stedin,5.58363,59.6883,41180.7
'S-GRAVENHAGE,2014,liander,7.84,72.55,8.092
'S-GRAVENHAGE,2014,stedin,7.14809,60.0602,41088.1
'S-GRAVENHAGE,2015,liander,11.54,75,6.848
'S-GRAVENHAGE,2015,stedin,9.20825,60.5095,40006.2
'S-GRAVENHAGE,2016,liander,15.38,76.92,7.286
'S-GRAVENHAGE,2016,stedin,12.3147,61.1931,39587.7
'S-GRAVENHAGE,2017,liander,17.31,75,7
'S-GRAVENHAGE,2017,stedin,16.6938,62.6774,39563.7
'S-GRAVENHAGE,2018,liander,44.23,80.77,6.349
'S-GRAVENHAGE,2018,stedin,24.664,64.1906,40033.3
'S-GRAVENHAGE,2019,liander,48.08,80.77,6.106
'S-GRAVENHAGE,2019,stedin,39.7622,71.143,37655.4
'S-GRAVENZANDE,2013,stedin,0,56.52,7.214
'S-GRAVENZANDE,2014,stedin,0,56.52,7.328
'S-GRAVENZANDE,2015,stedin,0,56.52,9.022
'S-GRAVENZANDE,2016,stedin,4.35,56.52,8.523
'S-GRAVENZANDE,2017,stedin,13.64,63.64,8.47
'S-GRAVENZANDE,2018,stedin,13.64,63.64,8.412
'S-HEERENBERG,2010,liander,0.0756757,30.123,1014.57
'S-HEERENBERG,2011,liander,0.0967742,39.7313,987.742
'S-HEERENBERG,2012,liander,0.116043,39.3792,1006.15
'S-HEERENBERG,2013,liander,1.87185,40.7481,1008.13
'S-HEERENBERG,2014,liander,8.81046,42.8764,1074.65
'S-HEERENBERG,2015,liander,10.8099,43.1149,982.631
'S-HEERENBERG,2016,liander,13.5894,46.7608,963.233
'S-HEERENBERG,2017,liander,18.4343,48.5768,934.762
'S-HEERENBERG,2018,liander,31.5003,56.1808,902.793
'S-HEERENBERG,2019,liander,76.52,84.3072,876.284
'S-HEERENBROEK,2010,enexis,0.625,37.75,45.763
'S-HEERENBROEK,2011,enexis,0.625,39,46.079
'S-HEERENBROEK,2012,enexis,1.125,38.125,49.116
'S-HEERENBROEK,2013,enexis,3.625,37.75,49.517
'S-HEERENBROEK,2014,enexis,8.625,37.75,48.771
'S-HEERENBROEK,2015,enexis,9.5,38.75,49.399
'S-HEERENBROEK,2016,enexis,11.5,37.375,46.23
'S-HEERENBROEK,2017,enexis,30.2222,42.1111,50.533
'S-HEERENBROEK,2018,enexis,33.9,40.422,60.8126
'S-HEERENBROEK,2019,enexis,42.79,42.78,64.4347
'S-HERTOGENBOSCH,2010,enexis,0.00519358,35.4046,9670.92
'S-HERTOGENBOSCH,2011,enexis,0.0855294,36.276,9873.73
'S-HERTOGENBOSCH,2012,enexis,5.53537,39.0785,10032.5
'S-HERTOGENBOSCH,2013,enexis,9.297,40.8143,9866.17
'S-HERTOGENBOSCH,2014,enexis,17.4615,22.2807,9758.21
'S-HERTOGENBOSCH,2015,enexis,23.9457,24.0363,9527.26
'S-HERTOGENBOSCH,2016,enexis,27.1321,25.2059,9323.46
'S-HERTOGENBOSCH,2017,enexis,55.3303,37.56,9273.46
'S-HERTOGENBOSCH,2018,enexis,78.631,47.4481,9900.36
'S-HERTOGENBOSCH,2019,enexis,80.1341,46.9833,9788.53
'SâGRAVENHAGE,2016,stedin,4.76,38.1,2.538
'SâGRAVENHAGE,2017,stedin,4.76,38.1,2.286
'SâGRAVENHAGE,2018,stedin,14.29,42.86,1.991
'T GOY,2010,stedin,1.35143,84.1371,107.786
'T GOY,2011,stedin,1.45538,84.5654,104.732
'T GOY,2012,stedin,1.35143,83.9386,107.281
'T GOY,2013,stedin,2.70357,83.8329,107.282
'T GOY,2014,stedin,5.22143,83.0471,116.193
'T GOY,2015,stedin,7.05571,84.4686,121.342
'T GOY,2016,stedin,51.8429,91.4986,115.786
'T GOY,2017,stedin,70.3793,92.1907,101.957
'T GOY,2018,stedin,72.1771,92.5357,101.42
'T GOY,2019,stedin,76.9654,93.5238,85.168
'T HAANTJE,2010,enexis,0,38.25,17.846
'T HAANTJE,2011,enexis,0,38.5,17.543
'T HAANTJE,2012,enexis,2,37,18.041
'T HAANTJE,2013,enexis,5,38.75,18.424
'T HAANTJE,2014,enexis,10.25,39.75,18.436
'T HAANTJE,2015,enexis,10.25,38.75,16.081
'T HAANTJE,2016,enexis,14.25,41,15.343
'T HAANTJE,2017,enexis,25,41.75,15.079
'T HAANTJE,2018,enexis,23.6375,42.395,15.1508
'T HAANTJE,2019,enexis,68.9325,48.2775,15.7769
'T HARDE,2010,liander,0.166593,28.8576,634.397
'T HARDE,2011,liander,2.52072,37.6343,661.621
'T HARDE,2012,liander,2.49129,37.0733,660.848
'T HARDE,2013,liander,3.03112,38.4649,686.914
'T HARDE,2014,liander,5.72447,39.9401,638.137
'T HARDE,2015,liander,7.6549,40.6397,624.075
'T HARDE,2016,liander,9.55413,41.2799,615.995
'T HARDE,2017,liander,12.975,43.8531,594.058
'T HARDE,2018,liander,16.4699,45.4728,596.999
'T HARDE,2019,liander,19.945,48.4134,588.517
'T LOO OLDEBROEK,2010,liander,0.437143,32.0305,121.266
'T LOO OLDEBROEK,2011,liander,0.5485,36.69,116.645
'T LOO OLDEBROEK,2012,liander,0.541,36.391,112.128
'T LOO OLDEBROEK,2013,liander,1.6515,37.519,108.898
'T LOO OLDEBROEK,2014,liander,3.847,37.661,108.044
'T LOO OLDEBROEK,2015,liander,7.231,38.8945,104.784
'T LOO OLDEBROEK,2016,liander,9.0095,40.8045,100.712
'T LOO OLDEBROEK,2017,liander,13.0824,44.07,101.427
'T LOO OLDEBROEK,2018,liander,15.6081,46.04,98.599
'T LOO OLDEBROEK,2019,liander,18.6286,46.7962,94.435
'T VELD,2010,liander,0.142564,45.0036,252.22
'T VELD,2011,liander,0.142564,49.8313,251.171
'T VELD,2012,liander,0.142564,49.619,252.172
'T VELD,2013,liander,1.74872,49.7941,250.26
'T VELD,2014,liander,4.53231,50.2672,237.927
'T VELD,2015,liander,8.10707,52.0824,236.238
'T VELD,2016,liander,9.99098,53.4641,230.583
'T VELD,2017,liander,73.9827,88.9763,225.046
'T VELD,2018,liander,74.168,87.9868,218.631
'T VELD,2019,liander,76.2698,88.9425,207.64
'T WAAR,2010,enexis,0,36,12.16
'T WAAR,2011,enexis,0,34.6667,11.968
'T WAAR,2012,enexis,5.66667,33.3333,11.583
'T WAAR,2013,enexis,10.6667,36,11.719
'T WAAR,2014,enexis,13,38,12.298
'T WAAR,2015,enexis,15.6667,38.3333,11.533
'T WAAR,2016,enexis,18.3333,38.3333,11.386
'T WAAR,2017,enexis,32.3333,40.3333,10.608
'T WAAR,2018,enexis,38.936,41.662,18.361
'T WAAR,2019,enexis,45.112,40.1,16.9273
'T ZAND NH,2010,liander,0.103158,46.3781,373.361
'T ZAND NH,2011,liander,0.202759,49.3547,374.609
'T ZAND NH,2012,liander,0.281207,48.596,374.869
'T ZAND NH,2013,liander,4.91712,51.5322,387.579
'T ZAND NH,2014,liander,9.54783,51.4825,359.285
'T ZAND NH,2015,liander,11.968,52.573,338.438
'T ZAND NH,2016,liander,14.4495,54.3177,337.909
'T ZAND NH,2017,liander,24.344,60.2227,336.809
'T ZAND NH,2018,liander,65.0667,80.985,329.355
'T ZAND NH,2019,liander,66.0538,81.478,318.342
'T ZANDT GN,2010,enexis,0.3125,31.625,65.393
'T ZANDT GN,2011,enexis,0.3125,29.125,65.805
'T ZANDT GN,2012,enexis,0.647059,30,70.938
'T ZANDT GN,2013,enexis,3.77778,30.4444,78.124
'T ZANDT GN,2014,enexis,4.88889,31.7222,76.57
'T ZANDT GN,2015,enexis,8.44444,32.6111,74.494
'T ZANDT GN,2016,enexis,20.4444,33.2222,67.54
'T ZANDT GN,2017,enexis,31.5882,36.3529,60.976
'T ZANDT GN,2018,enexis,37.7836,39.3955,92.1373
'T ZANDT GN,2019,enexis,76.2159,47.3132,84.3874
1E EXLOERMOND,2010,enexis,0,42,52.547
1E EXLOERMOND,2011,enexis,0,40.3333,52.64
1E EXLOERMOND,2012,enexis,0,40.5,52.945
1E EXLOERMOND,2013,enexis,3.66667,40.1667,47.451
1E EXLOERMOND,2014,enexis,7.5,38.6667,49.414
1E EXLOERMOND,2015,enexis,11.6667,40,47.238
1E EXLOERMOND,2016,enexis,18.8333,43.1667,43.89
1E EXLOERMOND,2017,enexis,25.5,43.6667,44.424
1E EXLOERMOND,2018,enexis,56.3317,46.175,41.6182
1E EXLOERMOND,2019,enexis,59.5267,45.5533,41.3965
2E EXLOERMOND,2010,enexis,0.102041,31.1837,265.734
2E EXLOERMOND,2011,enexis,0.176471,31.6078,278.521
2E EXLOERMOND,2012,enexis,1.4,31.66,273.554
2E EXLOERMOND,2013,enexis,5.39623,32.6038,294.441
2E EXLOERMOND,2014,enexis,8.96226,33.434,284.724
2E EXLOERMOND,2015,enexis,12.0769,33.5577,264.298
2E EXLOERMOND,2016,enexis,16.2264,34.5849,255.89
2E EXLOERMOND,2017,enexis,22.0189,36.1698,253.572
2E EXLOERMOND,2018,enexis,56.412,42.9607,252.449
2E EXLOERMOND,2019,enexis,60.2038,42.8587,246.228
2E VALTHERMOND,2010,enexis,0,39.6667,19.651
2E VALTHERMOND,2011,enexis,0,40.6667,20.434
2E VALTHERMOND,2012,enexis,0,40.6667,24.251
2E VALTHERMOND,2013,enexis,0,41.6667,25.674
2E VALTHERMOND,2014,enexis,13,42.6667,25.628
2E VALTHERMOND,2015,enexis,18.3333,42,23.448
2E VALTHERMOND,2016,enexis,25,44,22.459
2E VALTHERMOND,2017,enexis,32.6667,45.3333,22.822
2E VALTHERMOND,2018,enexis,36.3033,44.8367,22.8607
2E VALTHERMOND,2019,enexis,78.9433,48.4567,21.8923
AADORP,2010,enexis,0,40.3462,119.162
AADORP,2011,enexis,0,40.037,124.941
AADORP,2012,enexis,14.1429,40.1429,130.854
AADORP,2013,enexis,15.8571,41.0357,131.505
AADORP,2014,enexis,19.3214,41.6071,129.153
AADORP,2015,enexis,24.0357,41.25,123.048
AADORP,2016,enexis,26,41.4286,120.95
AADORP,2017,enexis,35,42.8571,116.275
AADORP,2018,enexis,39.0248,42.2585,147.258
AADORP,2019,enexis,41.2121,42.4533,141.401
AALDEN,2010,enexis,0,30.3333,129.64
AALDEN,2011,enexis,0.181818,30.8788,131.39
AALDEN,2012,enexis,0.529412,29.7353,136.914
AALDEN,2013,enexis,3.88571,31.8,146.304
AALDEN,2014,enexis,8.52778,32.6389,146.056
AALDEN,2015,enexis,11.2222,33.4167,138.89
AALDEN,2016,enexis,13.2222,33.75,139.565
AALDEN,2017,enexis,22.5556,35.6667,136.945
AALDEN,2018,enexis,27.8602,36.1009,168.182
AALDEN,2019,enexis,84.0093,48.8026,165.64
AALSMEER,2010,liander,0,36.2356,2651.72
AALSMEER,2011,liander,0,38.3043,2686.72
AALSMEER,2012,liander,0.00796875,37.0293,2716.53
AALSMEER,2013,liander,2.10177,37.4504,2700.56
AALSMEER,2014,liander,4.6216,37.764,2597.88
AALSMEER,2015,liander,8.19612,38.5327,2497.22
AALSMEER,2016,liander,11.562,41.6027,2446.19
AALSMEER,2017,liander,15.0703,43.1773,2432.35
AALSMEER,2018,liander,17.6968,44.6673,2409.6
AALSMEER,2019,liander,20.9481,45.8554,2378.16
AALSMEERDERBRUG,2010,liander,0,43.8608,81.946
AALSMEERDERBRUG,2011,liander,0,41.6577,79.276
AALSMEERDERBRUG,2012,liander,0,43.9954,78.552
AALSMEERDERBRUG,2013,liander,3.14385,44.8531,79.719
AALSMEERDERBRUG,2014,liander,6.84077,44.9177,80.679
AALSMEERDERBRUG,2015,liander,9.30231,46.1231,73.01
AALSMEERDERBRUG,2016,liander,13.5638,49.1915,73.278
AALSMEERDERBRUG,2017,liander,20.6131,52.0062,66.96
AALSMEERDERBRUG,2018,liander,24.28,53.6892,64.245
AALSMEERDERBRUG,2019,liander,26.0623,54.1654,64.086
